Date & Time,sku,name,brand,Average Rating,Rating Count,Sponsered,price,Sales Price,Express,Rank,Link
2024-12-29 18:04:20,ZF41379B12597CD8551E1Z,SUPERLITE TRAVE,Manduka EKO,NA,NA,N,260,260,N,NA,https://www.noon.com/uae-en/eko-superlite-travel-mat-blue-toad-marbled-71-inch/ZF41379B12597CD8551E1Z/p/?o=zf41379b12597cd8551e1z-1
2024-12-29 18:04:23,Z30868C98E61D2ABA2621Z,EVA Foam Roller f,MahMir Mahmir®,NA,NA,Y,29.95,29.95,Y,NA,https://www.noon.com/uae-en/mahmir-eva-foam-roller-for-yoga-deep-tissue-massage-stretching-physical-therapy-relieve-stress-improve-mobility-with-foam-roller-for-legs-and-muscles-deep-tissue-massage-tool-pink/Z30868C98E61D2ABA2621Z/p/?o=z30868c98e61d2aba2621z-1
2024-12-29 18:04:25,ZD0F9EADF94C847916735Z,"Ring, Magic Circle ",Generic Pilates,NA,NA,N,80,59.50,Y,NA,https://www.noon.com/uae-en/pilates-ring-magic-circle-pilates-ring-35-5cm-for-thigh-exercise-home-pilates-equipment-for-women-pilates-ring-gym-equipment-thigh-master/ZD0F9EADF94C847916735Z/p/?o=zd0f9eadf94c847916735z-1
2024-12-29 18:04:28,ZD201B6DEA9A818209F80Z,Bag with Water Bo,Generic Yoga Mat,NA,NA,N,99,52.95,Y,NA,https://www.noon.com/uae-en/yoga-mat-bag-with-water-bottle-pocket-and-bottom-wet-compartment-multifunctional-sports-yoga-mat-carrier-and-storage-bag/ZD201B6DEA9A818209F80Z/p/?o=zd201b6dea9a818209f80z-1
2024-12-29 18:04:32,ZB6E61CE23B29DAF85955Z,Yoga Cork Block –,MahMir MahMir®,NA,NA,N,69.95,59.95,N,NA,https://www.noon.com/uae-en/mahmir-yoga-cork-block-supportive-sustainable-cork-with-non-slip-surface-exercise-accessory-for-yoga-pilates-and-general-fitness-natural-cork-blocks-size-9-x6-x3-2pcs-pack/ZB6E61CE23B29DAF85955Z/p/?o=fae71ce02e9b7d0e
2024-12-29 18:04:33,Z7DD29A3780D77ACC9012Z,Pliage Original Lar,Longchamp Le,NA,NA,N,164.90,164.90,Y,NA,https://www.noon.com/uae-en/le-pliage-original-large-paper-white-women-s-handbag-l1899089p71/Z7DD29A3780D77ACC9012Z/p/?o=z7dd29a3780d77acc9012z-1
2024-12-29 18:04:37,ZF96F7F0E075EE8FF459FZ,SUPERLITE TRAVE,Manduka EKO,NA,NA,N,260,260,N,NA,https://www.noon.com/uae-en/eko-superlite-travel-mat-yes-please-71-inch/ZF96F7F0E075EE8FF459FZ/p/?o=zf96f7f0e075ee8ff459fz-1
2024-12-29 18:04:38,Z1C9A500C40A7E27BC923Z,Yoga Strap,Manduka Align,NA,NA,N,126,109,Y,NA,https://www.noon.com/uae-en/align-yoga-strap/Z1C9A500C40A7E27BC923Z/p/?o=z1c9a500c40a7e27bc923z-1
2024-12-29 18:04:40,ZE5D7520215AA49D4ED49Z,Resistance Loop B,TYCOM Tycom,NA,NA,N,49,28.60,Y,NA,https://www.noon.com/uae-en/tycom-resistance-loop-bands-resistance-exercise-bands-set-workout-bands-flex-bands-for-home-fitness-stretching-strength-training-physical-therapy-yoga/ZE5D7520215AA49D4ED49Z/p/?o=ze5d7520215aa49d4ed49z-1
2024-12-29 18:04:41,ZA63BF70F800CF9C3D86DZ,Longchamp Wome,Longchamp,NA,NA,Y,399.90,399.90,Y,NA,https://www.noon.com/uae-en/longchamp-women-s-mini-makeup-bag-handbag-shoulder-bag-steel-grey-classic/ZA63BF70F800CF9C3D86DZ/p/?o=za63bf70f800cf9c3d86dz-1
2024-12-29 18:04:44,Z4882AD10A617AAC52EADZ,Mat Bag,Gaiam Chakra Yoga,NA,NA,N,199,109,Y,NA,https://www.noon.com/uae-en/chakra-yoga-mat-bag/Z4882AD10A617AAC52EADZ/p/?o=z4882ad10a617aac52eadz-1
2024-12-29 18:04:46,ZA63BF70F800CF9C3D86DZ,Longchamp Wome,Longchamp,NA,NA,N,399.90,399.90,Y,NA,https://www.noon.com/uae-en/longchamp-women-s-mini-makeup-bag-handbag-shoulder-bag-steel-grey-classic/ZA63BF70F800CF9C3D86DZ/p/?o=za63bf70f800cf9c3d86dz-1
2024-12-29 18:04:47,ZD47F076F0E799BD13A58Z,"Cooling Towel, Qui",Generic 5 Packs,NA,NA,N,79.95,28.75,Y,NA,https://www.noon.com/uae-en/5-packs-cooling-towel-quick-dry-sports-towel-for-yoga-fitness-golf-tennis-camping-games-fitness-towel-30x80cm/ZD47F076F0E799BD13A58Z/p/?o=zd47f076f0e799bd13a58z-1
2024-12-29 18:04:50,Z77ADCFB0785D9F108D97Z,Pear Wander Print ,Prickly Pear Prickly,NA,NA,N,240,160,Y,NA,https://www.noon.com/uae-en/prickly-pear-wander-print-non-slip-suede-top-1mm-travel-yoga-mat-lightweight-and-portable/Z77ADCFB0785D9F108D97Z/p/?o=z77adcfb0785d9f108d97z-1
2024-12-29 18:04:53,Z549615CC1C4033D14D98Z,Nnewvante Silk Sl,NNEWVANTE,NA,NA,N,35.95,23.90,Y,NA,https://www.noon.com/uae-en/nnewvante-silk-sleep-mask-2-pack-100-real-natural-pure-silk-eye-mask-with-adjustable-strap-eye-mask-for-sleeping-eye-sleep-shade-cover-blocks-light-reduces-puffy-eyes-gifts/Z549615CC1C4033D14D98Z/p/?o=z549615cc1c4033d14d98z-1
2024-12-29 18:04:57,Z7B5DD06DBFCED14AFA8CZ,Yoga Mat Knees S,DBLEW 4mm Thick,NA,NA,N,50,26.80,Y,NA,https://www.noon.com/uae-en/4mm-thick-yoga-mat-knees-supportive-anti-slip-fitness-home-exercise-eco-friendly-ideal-for-all-types-of-pilates-floor-workouts-gym-stretching-61x173cm/Z7B5DD06DBFCED14AFA8CZ/p/?o=z7b5dd06dbfced14afa8cz-1
2024-12-29 18:04:59,Z24F43F8520548D2CD073Z,"Strap, Elastic Exer",Garlo Stretch Band,NA,NA,N,52,37,Y,NA,https://www.noon.com/uae-en/stretch-band-strap-elastic-exercise-stretching-band-with-9-loops-for-yoga-physical-therapy-dance-workout-fitness-stretch-assist-light-resistance-band-for-strength-flexibility-training/Z24F43F8520548D2CD073Z/p/?o=z24f43f8520548d2cd073z-1
2024-12-29 18:05:00,ZE3FFF1B6FFB81E419224Z,Fitness Exercise B,ZCM-HAPPY Yoga,NA,NA,Y,55,33,Y,NA,https://www.noon.com/uae-en/yoga-fitness-exercise-ball-with-air-pump-75cm/ZE3FFF1B6FFB81E419224Z/p/?o=ze3fff1b6ffb81e419224z-1
2024-12-29 18:05:04,ZFC4F2BC1E9DC7B33305BZ,Ankle Weights Set ,Qiccijoo Qiccijoo,NA,NA,Y,89,89,Y,NA,https://www.noon.com/uae-en/qiccijoo-ankle-weights-set-1-pair-4kg-8-8lb-workout-ankle-weights-for-women-or-men-wrist-leg-weights-for-fitness-running-walking-2-2kg-4-4lb-blue/ZFC4F2BC1E9DC7B33305BZ/p/?o=zfc4f2bc1e9dc7b33305bz-1
2024-12-29 18:05:05,Z24E1B5B4FDE8BB5C6111Z,Mat with Carrying ,Bernessi 8MM Yoga,NA,NA,Y,165,69.90,Y,NA,https://www.noon.com/uae-en/8mm-yoga-mat-with-carrying-strap-anti-slip-for-home-workout-exercises-meditation-eco-friendly-non-skid-tpe-yoga-mattres-for-pilates-183x61x0-8cm-thick-pink-black-color/Z24E1B5B4FDE8BB5C6111Z/p/?o=z24e1b5b4fde8bb5c6111z-1
2024-12-29 18:05:07,ZA7909705238C5C4A47C9Z,Mat for Home Wor,Vparty Thick Yoga,NA,NA,N,69.95,59.90,N,NA,https://www.noon.com/uae-en/thick-yoga-mat-for-home-workout-183x61x0-6cm-non-slip-exercise-fitness-yoga-mats-eco-friendly-tpe-exercise-mats-for-home-workout-with-strap-carrying-bag/ZA7909705238C5C4A47C9Z/p/?o=za7909705238c5c4a47c9z-1
2024-12-29 18:05:10,Z64D992D4011EDA48B6D1Z,YOGA MAT 71 ELD,Manduka PRO,NA,NA,N,630,630,N,NA,https://www.noon.com/uae-en/pro-yoga-mat-71-elderberry-71-inch/Z64D992D4011EDA48B6D1Z/p/?o=z64d992d4011eda48b6d1z-1
2024-12-29 18:05:12,Z1504A948D99AE199BD3CZ,Intelligent punch f,Other Manufacturer,NA,NA,N,210,168,Y,NA,https://www.noon.com/uae-en/intelligent-punch-force-tester-punch-explosive-force-tester-force-tester-vent-target-sandbag-wall-target-sandbag/Z1504A948D99AE199BD3CZ/p/?o=z1504a948d99ae199bd3cz-1
2024-12-29 18:05:14,Z027D99E609B451C92CE3Z,YOGA MAT,Gaiam 5MM JUTE,NA,NA,N,269,126,Y,NA,https://www.noon.com/uae-en/5mm-jute-yoga-mat/Z027D99E609B451C92CE3Z/p/?o=z027d99e609b451c92ce3z-1
2024-12-29 18:05:18,Z19C41AA80A4326F2D6CCZ,"Towel,2Pack Quic",Generic Cooling,NA,NA,N,47,39.95,Y,NA,https://www.noon.com/uae-en/cooling-towel-2pack-quick-dry-gym-towels-with-silicone-storage-case-carabiner-for-neck-face-30-80cm-superfiber-sweat-absorbent-towel-for-running-yoga-fitness-portable-sports-towel-for-camping/Z19C41AA80A4326F2D6CCZ/p/?o=z19c41aa80a4326f2d6ccz-1
2024-12-29 18:05:20,Z0B890FB207D88CE803BCZ,4MM,Reebok Yoga Mat -,NA,NA,N,100,59,Y,NA,https://www.noon.com/uae-en/yoga-mat-4mm/Z0B890FB207D88CE803BCZ/p/?o=z0b890fb207d88ce803bcz-1
